                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3356,                 2.7715,                 1.1534,                 1.4423,                 5.2568,                 1.1134,                 0.1285,                0.33046,                0.16963,                0.10765,                 1.1491,                 3.7288,                 1.1115,                 1.2032,                 5.0808,                 1.1177,               0.000275,               0.000275,               0.000275
                      2,                 1.4655,                 2.4419,                 1.2287,                 1.5381,                 4.3367,                 1.1979,                  0.226,                0.34052,                 0.2398,                0.14521,                 1.4146,                 2.2049,                 1.2977,                 1.4266,                 3.9977,                  1.281,             0.00050681,             0.00050681,             0.00050681
                      3,                 1.5744,                 1.9176,                 1.2814,                 1.6657,                 3.2095,                 1.2046,                  0.292,                  0.319,                0.27637,                0.15902,                 1.4173,                 2.9811,                 1.2653,                 1.5223,                 3.9776,                 1.2649,              0.0006817,              0.0006817,              0.0006817
                      4,                 1.5342,                 2.1511,                 1.2598,                 1.6826,                 3.1758,                 1.2229,                0.70789,                0.28782,                0.25144,                0.13691,                 1.4882,                 4.5019,                 1.4051,                 1.6422,                 5.1345,                  1.447,             0.00079966,             0.00079966,             0.00079966
                      5,                 1.5948,                 2.1253,                 1.3159,                 1.7913,                 3.2324,                 1.3085,                0.76056,                0.25897,                0.25379,                0.12423,                 1.7436,                 5.5906,                 1.5661,                  1.858,                 4.6916,                  1.592,               0.000755,               0.000755,               0.000755
                      6,                 1.7637,                  2.019,                 1.3831,                 1.9412,                 2.7223,                 1.3287,                0.78472,                 0.2735,                0.26889,                0.14711,                 1.5116,                 3.8435,                  1.419,                  1.645,                 3.5067,                  1.378,               0.000755,               0.000755,               0.000755
                      7,                 1.6222,                    1.8,                 1.3326,                 1.8358,                 2.3926,                 1.3257,                0.78693,                0.29202,                0.27765,                0.16211,                  1.474,                  3.115,                 1.3934,                  1.578,                 3.6177,                 1.3997,             0.00063125,             0.00063125,             0.00063125
                      8,                 1.5389,                  1.674,                  1.304,                 1.7076,                 2.2386,                 1.3097,                0.81862,                0.32735,                0.32684,                0.20704,                 1.3573,                 2.3595,                  1.332,                 1.4145,                   2.48,                 1.3553,              0.0005075,              0.0005075,              0.0005075
                      9,                  1.481,                  1.554,                 1.2748,                 1.6608,                 1.9872,                 1.2494,                0.81636,                0.34416,                0.33738,                0.22331,                  1.286,                 1.8841,                 1.2729,                 1.3349,                 2.3069,                 1.2965,             0.00038375,             0.00038375,             0.00038375
                     10,                 1.3572,                 1.5468,                 1.2075,                 1.5982,                 1.9208,                 1.2068,                0.33065,                0.34177,                0.34689,                0.23524,                 1.2353,                 1.4132,                  1.235,                 1.3018,                 1.7948,                 1.2567,                0.00026,                0.00026,                0.00026
