                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0941,                0.96956,                 1.0422,                 1.3048,                 1.3202,                 1.0525,                0.55643,                0.58707,                0.56239,                 0.3907,                 1.0838,                 1.2193,                 1.1743,                 1.1663,                 1.4542,                 1.1984,             0.00041631,             0.00041631,             0.00041631
                      2,                  1.091,                0.87729,                 1.0658,                 1.3207,                 1.0491,                 1.0804,                0.47423,                 0.3879,                0.38333,                0.26263,                  1.148,                  1.104,                 1.1763,                  1.227,                 1.1877,                 1.1949,             0.00082473,             0.00082473,             0.00082473
                      3,                 1.0563,                 0.8266,                 1.0496,                 1.2941,                0.99349,                 1.0696,                0.66678,                 0.6279,                0.62271,                0.43311,                 1.0432,                0.92014,                 1.1238,                 1.1224,                0.98926,                 1.1481,              0.0012249,              0.0012249,              0.0012249
                      4,                 1.0214,                0.77781,                 1.0334,                 1.2561,                0.92105,                 1.0533,                0.67811,                0.66754,                0.69073,                 0.4842,                 1.1303,                0.76882,                  1.145,                 1.2269,                0.78004,                 1.1837,              0.0012129,              0.0012129,              0.0012129
                      5,                0.98949,                0.74208,                 1.0218,                 1.2216,                0.89144,                 1.0422,                0.63329,                0.63568,                 0.6359,                0.46354,                  1.026,                0.81557,                 1.1239,                 1.0964,                0.94591,                 1.1371,              0.0012129,              0.0012129,              0.0012129
                      6,                 0.9597,                 0.7055,                 1.0077,                 1.1882,                0.85234,                 1.0265,                0.68396,                0.63311,                0.65529,                0.48444,                 1.0392,                0.79044,                 1.1286,                 1.1051,                0.77201,                 1.1431,              0.0012005,              0.0012005,              0.0012005
                      7,                0.92726,                0.66917,                 0.9898,                 1.1499,                0.78923,                 1.0098,                0.69305,                0.67725,                0.71247,                0.50387,                0.99626,                0.75261,                 1.1047,                 1.0788,                0.75663,                 1.1193,              0.0011881,              0.0011881,              0.0011881
                      8,                0.91337,                0.64001,                0.98789,                 1.1319,                0.75273,                 1.0075,                0.62523,                0.69569,                0.69064,                0.49948,                 1.0221,                0.74614,                 1.1248,                 1.0954,                0.78879,                  1.142,              0.0011757,              0.0011757,              0.0011757
                      9,                0.89908,                0.63249,                0.97846,                 1.1221,                0.74259,                0.99736,                 0.6777,                0.60566,                 0.6506,                0.45669,                 1.0095,                0.70828,                 1.1034,                  1.087,                0.70183,                 1.1257,              0.0011634,              0.0011634,              0.0011634
                     10,                0.89723,                0.62977,                0.97965,                 1.1157,                 0.7403,                0.99775,                0.56021,                0.67795,                0.60552,                0.45977,                 1.0134,                0.78529,                  1.105,                 1.0696,                0.77261,                 1.1211,               0.001151,               0.001151,               0.001151
                     11,                0.88759,                0.60606,                0.97371,                 1.1065,                0.70989,                0.99221,                 0.7019,                0.67137,                0.70757,                 0.5146,                 1.0244,                0.70452,                 1.1148,                 1.0941,                0.71859,                  1.128,              0.0011386,              0.0011386,              0.0011386
                     12,                0.86875,                0.59336,                0.96358,                 1.0884,                0.69371,                0.98037,                0.71726,                0.68154,                0.75167,                0.53286,                  0.995,                0.79188,                 1.1045,                 1.0573,                0.99755,                 1.1262,              0.0011263,              0.0011263,              0.0011263
                     13,                0.86104,                0.58481,                0.96566,                 1.0659,                0.67959,                 0.9852,                0.75712,                0.74174,                 0.7538,                 0.5506,                 1.0082,                0.72532,                 1.1285,                 1.0653,                0.72445,                 1.1389,              0.0011139,              0.0011139,              0.0011139
                     14,                0.85615,                0.57522,                0.96151,                 1.0653,                0.66955,                0.97918,                0.71805,                0.72327,                0.74617,                0.52256,                 1.0115,                0.74223,                 1.1192,                 1.0769,                0.75341,                 1.1346,              0.0011015,              0.0011015,              0.0011015
                     15,                0.85126,                 0.5681,                0.96059,                 1.0575,                0.65645,                0.97596,                0.67993,                0.73214,                0.69775,                0.51119,                 1.0177,                0.70379,                 1.1233,                 1.0704,                0.73762,                 1.1352,              0.0010891,              0.0010891,              0.0010891
